Almanca Kelime - İfade,Tür,İngilizce Karşılığı,Örnek Cümle
unterwegs,Adverb,On the way - On the go,"""Ich bin gerade ***, wir telefonieren später."""
die Fahrkarte,Noun,Ticket,"""Vergessen Sie nicht, Ihre *** zu entwerten."""
der Zug,Noun,Train,Der *** nach Berlin hat 10 Minuten Verspätung.
das Schiff,Noun,Ship - Boat,Wir machen eine Reise mit dem ***.
besser,Adjective - Adverb,Better,Heute geht es mir schon viel ***.
übernachten,Verb,To stay overnight - To spend the night,Wir *** in einem kleinen Hotel am See.
in Ordnung,Interjection - Adjective,All right - Okay - In order,"""Alles ***, wir können jetzt losgehen."""
bis,Preposition,Until - Till,Ich bleibe *** morgen in München.
der-die Cousin-e,Noun,Cousin,Mein *** besucht mich am Wochenende.
das Verkehrsmittel,Noun,Means of transport,Welches *** benutzen Sie am häufigsten?
das Fahrrad,Noun,Bicycle - Bike,Ich fahre jeden Tag mit dem *** zur Arbeit.
das Auto,Noun,Car,Das neue *** steht in der Garage.
der Bus,Noun,Bus,Der *** hält direkt vor dem Haus.
das Flugzeug,Noun,Airplane - Plane,Das *** startet pünktlich um 14 Uhr.
die Straßenbahn,Noun,Tram - Streetcar,In Wien fährt man oft mit der ***.
die U-Bahn,Noun,Subway - Metro,Die *** ist das schnellste Verkehrsmittel.
die S-Bahn,Noun,Suburban train - City train,Die *** verbindet die Stadt mit dem Umland.
öf. Verkehrsmittel,Noun Phrase,Public transport,Ich nutze nur ***.
abfahren,Verb,To depart - To leave,Wann wird der Zug ***?
zu Fuß,Adverb,On foot,Ich gehe gerne *** durch den Park.
selten,Adverb - Adjective,Rarely - Seldom,Ich esse nur sehr *** Fleisch.
von ... zu ...,Preposition,From ... to ...,Ich fahre *** Hamburg *** Berlin.
direkt,Adjective - Adverb,Direct - Directly,Es gibt eine ***e Verbindung zum Flughafen.
am Bahnhof,Prepositional Phrase,At the station,Wir treffen uns ***.
die Abfahrt,Noun,Departure,Die *** ist um 10:30 Uhr auf Gleis 4.
die Ankunft,Noun,Arrival,Die geplante *** ist um 12:15 Uhr.
ankommen,Verb,To arrive,Wann wird der Bus in Köln ***?
der Bahnsteig,Noun,Platform,Der Zug fährt heute von einem anderen ***.
das Gleis,Noun,Track - Platform line,"""Vorsicht an *** 3, der Zug fährt ein."""
der Fahrplan,Noun,Timetable - Schedule,Schauen Sie bitte im *** nach.
die Auskunft,Noun,Information - Inquiry,Wo finde ich die *** am Bahnhof?
der Automat,Noun,Vending machine - Ticket machine,Ich kaufe meine Karte am ***en.
das Gepäck,Noun,Luggage - Baggage,Haben Sie viel *** dabei?
die Gültigkeit,Noun,Validity,Wie lange ist die *** dieser Karte?
